"games","region","gold","silver","bronze"
"1896 Summer","USA",11,7,2
"1896 Summer","UK",3,3,3
"1896 Summer","Switzerland",1,2,0
"1896 Summer","Hungary",2,1,3
"1896 Summer","Greece",10,18,20
"1896 Summer","Germany",25,5,2
"1896 Summer","France",5,4,2
"1896 Summer","Denmark",1,2,3
"1896 Summer","Austria",2,1,2
"1896 Summer","Australia",2,0,1
"1900 Summer","USA",30,16,17
"1900 Summer","UK",59,34,15
"1900 Summer","Switzerland",16,4,1
"1900 Summer","Sweden",3,0,1
"1900 Summer","Spain",2,0,0
"1900 Summer","Norway",0,6,3
"1900 Summer","New Zealand",1,0,0
"1900 Summer","Netherlands",3,8,16
"1900 Summer","Mexico",0,0,3
"1900 Summer","Luxembourg",1,0,0
"1900 Summer","Italy",3,2,0
"1900 Summer","India",0,2,0
"1900 Summer","Hungary",1,2,2
"1900 Summer","Haiti",1,0,0
"1900 Summer","Germany",14,20,11
"1900 Summer","France",52,101,82
"1900 Summer","Denmark",4,3,2
"1900 Summer","Czech Republic",0,1,2
"1900 Summer","Cuba",1,1,0
"1900 Summer","Colombia",0,1,0
"1900 Summer","Canada",1,0,1
"1900 Summer","Belgium",6,24,13
"1900 Summer","Austria",0,3,3
"1900 Summer","Australia",3,0,3
"1904 Summer","USA",128,141,125
"1904 Summer","UK",1,1,0
"1904 Summer","Switzerland",1,0,2
"1904 Summer","Norway",2,0,0
"1904 Summer","Hungary",2,1,1
"1904 Summer","Greece",1,0,1
"1904 Summer","Germany",4,5,7
"1904 Summer","France",0,2,0
"1904 Summer","Cuba",5,0,0
"1904 Summer","Canada",27,9,12
"1904 Summer","Austria",2,1,1
"1904 Summer","Australia",0,3,1
"1906 Summer","USA",12,6,6
"1906 Summer","UK",9,22,8
"1906 Summer","Switzerland",8,3,1
"1906 Summer","Sweden",2,5,14
"1906 Summer","Norway",20,5,0
"1906 Summer","Netherlands",0,1,5
"1906 Summer","Italy",21,8,27
"1906 Summer","Hungary",5,5,3
"1906 Summer","Greece",24,48,30
"1906 Summer","Germany",14,10,6
"1906 Summer","France",20,16,28
"1906 Summer","Finland",2,1,1
"1906 Summer","Denmark",14,19,1
"1906 Summer","Czech Republic",0,0,3
"1906 Summer","Canada",1,1,0
"1906 Summer","Belgium",2,3,6
"1906 Summer","Austria",3,3,3
"1906 Summer","Australia",0,0,3
"1908 Summer","USA",34,16,15
"1908 Summer","UK",147,131,90
"1908 Summer","Sweden",48,18,18
"1908 Summer","South Africa",1,1,0
"1908 Summer","Russia",1,2,0
"1908 Summer","Norway",7,32,3
"1908 Summer","Netherlands",0,0,16
"1908 Summer","Italy",2,6,0
"1908 Summer","Hungary",7,7,6
"1908 Summer","Greece",0,3,1
"1908 Summer","Germany",4,11,6
"1908 Summer","France",12,5,23
"1908 Summer","Finland",1,1,28
"1908 Summer","Denmark",0,14,3
"1908 Summer","Czech Republic",0,0,6
"1908 Summer","Canada",14,8,30
"1908 Summer","Belgium",1,24,8
"1908 Summer","Austria",0,0,1
"1908 Summer","Australia",15,2,2
"1912 Summer","USA",46,25,36
"1912 Summer","UK",47,64,59
"1912 Summer","Switzerland",2,0,0
"1912 Summer","Sweden",103,62,25
"1912 Summer","South Africa",5,2,0
"1912 Summer","Russia",0,5,9
"1912 Summer","Norway",40,6,34
"1912 Summer","Netherlands",0,0,26
"1912 Summer","Italy",22,1,2
"1912 Summer","Hungary",10,17,3
"1912 Summer","Greece",1,0,1
"1912 Summer","Germany",11,19,23
"1912 Summer","France",10,11,5
"1912 Summer","Finland",9,40,22
"1912 Summer","Denmark",5,49,33
"1912 Summer","Canada",3,2,3
"1912 Summer","Belgium",7,1,11
"1912 Summer","Austria",0,9,5
"1912 Summer","Australia",5,2,3
"1920 Summer","USA",111,45,38
"1920 Summer","UK",52,42,17
"1920 Summer","Switzerland",6,2,21
"1920 Summer","Sweden",52,38,64
"1920 Summer","Spain",0,23,0
"1920 Summer","South Africa",3,12,6
"1920 Summer","Norway",58,52,27
"1920 Summer","New Zealand",0,0,1
"1920 Summer","Netherlands",15,10,25
"1920 Summer","Luxembourg",0,1,0
"1920 Summer","Japan",0,3,0
"1920 Summer","Italy",67,9,8
"1920 Summer","Greece",0,5,0
"1920 Summer","France",13,71,57
"1920 Summer","Finland",21,14,17
"1920 Summer","Estonia",1,2,0
"1920 Summer","Denmark",26,44,1
"1920 Summer","Czech Republic",0,0,10
"1920 Summer","Canada",10,3,3
"1920 Summer","Brazil",1,1,5
"1920 Summer","Belgium",57,65,66
"1920 Summer","Australia",0,6,1
"1924 Summer","Uruguay",14,0,0
"1924 Summer","USA",97,36,49
"1924 Summer","UK",15,30,19
"1924 Summer","Switzerland",14,25,21
"1924 Summer","Sweden",7,22,43
"1924 Summer","South Africa",1,1,1
"1924 Summer","Serbia",2,0,0
"1924 Summer","Romania",0,0,16
"1924 Summer","Portugal",0,0,4
"1924 Summer","Poland",0,4,1
"1924 Summer","Norway",14,5,3
"1924 Summer","New Zealand",0,0,1
"1924 Summer","Netherlands",8,1,18
"1924 Summer","Monaco",0,0,1
"1924 Summer","Luxembourg",1,1,0
"1924 Summer","Japan",0,0,1
"1924 Summer","Italy",25,5,21
"1924 Summer","Ireland",0,1,1
"1924 Summer","Hungary",2,12,8
"1924 Summer","Haiti",0,0,5
"1924 Summer","Greece",1,0,0
"1924 Summer","France",37,51,22
"1924 Summer","Finland",24,13,15
"1924 Summer","Estonia",1,1,4
"1924 Summer","Denmark",2,9,3
"1924 Summer","Czech Republic",1,4,5
"1924 Summer","Canada",0,19,1
"1924 Summer","Belgium",3,30,6
"1924 Summer","Austria",0,3,1
"1924 Summer","Australia",3,5,2
"1924 Summer","Argentina",5,3,2
"1924 Winter","USA",1,10,1
"1924 Winter","UK",16,4,11
"1924 Winter","Switzerland",8,0,1
"1924 Winter","Sweden",1,8,0
"1924 Winter","Norway",4,7,6
"1924 Winter","Nepal",1,0,0
"1924 Winter","India",7,0,0
"1924 Winter","France",0,0,10
"1924 Winter","Finland",4,8,3
"1924 Winter","Canada",9,0,0
"1924 Winter","Belgium",0,0,5
"1924 Winter","Austria",3,1,0
"1924 Winter","Australia",1,0,0
"1928 Summer","Uruguay",17,0,0
"1928 Summer","USA",47,24,17
"1928 Summer","UK",7,27,24
"1928 Summer","Switzerland",16,10,4
"1928 Summer","Sweden",7,8,22
"1928 Summer","Spain",3,0,0
"1928 Summer","South Africa",1,0,5
"1928 Summer","Serbia",1,1,10
"1928 Summer","Portugal",0,0,6
"1928 Summer","Poland",2,3,15
"1928 Summer","Philippines",0,0,1
"1928 Summer","Norway",4,4,1
"1928 Summer","New Zealand",1,0,0
"1928 Summer","Netherlands",20,29,8
"1928 Summer","Luxembourg",1,0,0
"1928 Summer","Japan",2,6,1
"1928 Summer","Italy",24,22,26
"1928 Summer","Ireland",1,0,0
"1928 Summer","India",14,0,0
