"team","games","sport","total_medals"
"Iran","2016 Summer","Wrestling",5
"Iran","2012 Summer","Wrestling",6
"Iran","2008 Summer","Wrestling",1
"Iran","2004 Summer","Wrestling",3
"Iran","2000 Summer","Wrestling",1
"Iran","1996 Summer","Wrestling",3
"Iran","1992 Summer","Wrestling",3
"Iran","1988 Summer","Wrestling",1
"Iran","1976 Summer","Wrestling",1
"Iran","1972 Summer","Wrestling",2
"Iran","1968 Summer","Wrestling",3
"Iran","1964 Summer","Wrestling",2
"Iran","1960 Summer","Wrestling",3
"Iran","1956 Summer","Wrestling",4
"Iran","1952 Summer","Wrestling",5
"Iran","1948 Summer","Wrestling",0
